userid,company,ssn,username,name,sex,mail,birthdate,address,state
0,Rogers and Sons,351-38-1772,nfowler,Andrea Davis MD,F,ifrancis@gmail.com,21/6/1943,"69 Lisa Mew\nMarciastad, VIC, 2254", VIC
1,Gonzales-Powell,549-66-1342,xchang,Steven Kennedy,M,freybenjamin@yahoo.com.au,27/7/1991,"7 Christopher Firetrail\nEast Debratown, VIC, 2920", VIC
2,"Perez, Simpson and Park",403-94-9995,blacksheri,Joel Hester,M,matthewmartinez@yahoo.com,4/3/1916,"0/6 Michael Rotary\nWest Kevinside, VIC, 2238", VIC
3,"Frazier, Haley and Jackson",771-75-0125,michaeltaylor,John Shepard,M,zmartinez@gmail.com,31/3/1989,"Apt. 520 4 Katie Bend\nSouth Shane, SA, 2986", SA
4,Nolan-Meadows,740-17-3130,jacquelinejackson,Tara David,F,ujones@yahoo.com,10/2/1988,"0 Hayes Parkway\nLake Jasonstad, NT, 2670", NT
5,"Galvan, Fisher and Smith",775-60-9946,vshah,Karen Tran,F,danielchang@yahoo.com.au,21/4/1986,"Level 9 925 Bowman Right Of Way\nSt. Brandon, VIC, 2960", VIC
6,"Pace, Spencer and Rodriguez",556-80-5334,lisa99,Brittany Richard,F,karla57@hotmail.com.au,3/1/1934,"1 Alexis Towers\nJoyport, SA, 2655", SA
7,Patel-Richardson,584-56-5073,corey73,Nicole Rhodes,F,juliandaniels@yahoo.com.au,26/6/1937,"2 Wells Lookout\nEast Samuelfurt, WA, 4189", WA
8,Sutton Ltd,457-21-8447,vincentabigail,Melody Nguyen,F,bakermatthew@hotmail.com.au,17/12/1951,"772 Michele Triangle\nEllenville, VIC, 2344", VIC
9,Green-Woods,350-37-7758,dharmon,Susan Allen,F,hayden40@yahoo.com.au,26/3/1909,"4 Erin Parklands\nHallshire, TAS, 5205", TAS
10,"Reilly, Mitchell and Soto",545-63-4467,hernandeznancy,Michael Brooks,M,psolis@hotmail.com,1/5/2012,"6/639 Sanders Trunkway\nHowardborough, NSW, 2998", NSW
11,Bell Inc,538-54-4536,annabrown,Laurie House,F,torreskyle@yahoo.com.au,30/12/1906,"8 Ware Crossroad\nEast Edwin, TAS, 0288", TAS
12,Hall-Smith,070-51-2921,james41,Karina Young,F,ejackson@hotmail.com,15/8/1919,"5 Holloway Piazza\nCarrshire, ACT, 2921", ACT
13,Fowler LLC,883-57-0267,ruthhobbs,Jennifer Cross,F,gjones@yahoo.com,6/7/1985,"9/07 Austin Circle\nHallbury, ACT, 2924", ACT
14,"Daugherty, Jackson and Werner",767-54-2261,renee68,Tristan Davis,M,panderson@gmail.com,7/10/1945,"1/03 Hobbs Lookout\nNorth Annettefort, WA, 2613", WA
15,"Small, Morrison and Wright",593-50-8155,kathywood,John Patton,M,laura34@hotmail.com.au,2/1/1945,"6 Karen Court\nJenniferbury, WA, 1993", WA
16,"Hooper, Sanchez and Morris",584-45-8041,operez,William Carey,M,scott34@hotmail.com,27/8/1936,"6 Gomez Dale\nSt. Laurenmouth, NT, 3787", NT
17,"Chen, Smith and Rosales",627-83-5446,jamie00,Mary Young,F,bakerrachel@yahoo.com,17/3/1952,"711 Gregory Retreat\nJamestown, QLD, 8331", QLD
18,Martinez PLC,013-01-7933,fisherfrank,Kimberly Hogan,F,tony73@hotmail.com,6/4/1910,"0/12 Cody Triangle\nHayesborough, TAS, 2947", TAS
19,Tucker-Horton,457-83-1315,jenkinstammy,Jackson Mccoy,M,zunigataylor@yahoo.com.au,16/4/1994,"86 Golden Deviation\nPierceport, NT, 2905", NT
20,Brown Inc,436-17-9630,victoria40,William Wilson,M,ychen@hotmail.com,12/5/1969,"9 Monique Crossroad\nWest Samanthaberg, ACT, 3579", ACT
21,"Greene, Johnson and Harris",744-38-2155,masonamy,Angie Krueger,F,bhouse@gmail.com,24/8/1951,"Suite 580 164 Michael Vale\nBakerhaven, NT, 1850", NT
